timestamp	step	train_loss
1625392849128	0	3.960704803466797
1625392849335	1	4.241223335266113
1625392849524	2	3.7973976135253906
1625392849711	3	3.8631696701049805
1625392849888	4	3.919182777404785
1625392850065	5	3.8903441429138184
1625392850245	6	3.891305685043335
1625392850425	7	4.057100296020508
1625392850604	8	3.536428689956665
1625392850779	9	3.542240858078003
1625392850957	10	3.993699550628662
1625392851137	11	3.871830463409424
1625392851314	12	3.9048240184783936
1625392851498	13	3.8843207359313965
1625392851680	14	3.780170440673828
1625392851858	15	4.447360515594482
1625392852038	16	4.317286491394043
1625392852215	17	3.952500581741333
1625392852394	18	3.470308780670166
1625392852572	19	3.9047484397888184
1625392852749	20	3.7790932655334473
1625392852927	21	3.8028030395507812
1625392853124	22	3.968785285949707
1625392853303	23	3.6886870861053467
1625392853516	24	4.2792558670043945
1625392853697	25	4.2638840675354
1625392853886	26	4.093311309814453
1625392854074	27	3.8029909133911133
1625392854265	28	3.9924774169921875
1625392854443	29	3.8618459701538086
1625392854622	30	3.829232931137085
1625392854811	31	3.595118284225464
1625392855008	32	4.168158531188965
1625392855186	33	3.62135910987854
1625392855378	34	3.4278807640075684
1625392855566	35	3.9408814907073975
1625392855742	36	3.9989278316497803
1625392855918	37	3.880093574523926
1625392856117	38	3.8264007568359375
1625392856304	39	3.703763008117676
1625392856480	40	3.9313178062438965
1625392856657	41	3.5208678245544434
1625392856885	42	3.6846442222595215
1625392857066	43	3.7702174186706543
1625392857248	44	3.7347400188446045
1625392857442	45	3.857182741165161
1625392857619	46	3.5107102394104004
1625392857796	47	3.572025775909424
1625392857974	48	3.6062965393066406
1625392858150	49	3.4790055751800537
1625392858328	50	3.582360029220581
1625392858511	51	3.5964462757110596
1625392858709	52	3.682936668395996
1625392858887	53	3.5161337852478027
1625392859063	54	3.8122310638427734
1625392859240	55	3.4624881744384766
1625392859418	56	3.6537132263183594
1625392859595	57	3.5012221336364746
1625392859772	58	3.620236873626709
1625392859949	59	3.7084028720855713
1625392860127	60	3.6428451538085938
1625392860304	61	3.9372482299804688
1625392860482	62	3.5425758361816406
1625392860662	63	3.7946507930755615
1625392860838	64	3.436013698577881
1625392861016	65	3.503753662109375
1625392861192	66	3.71682071685791
1625392861369	67	3.9667794704437256
1625392861547	68	3.478121757507324
1625392861725	69	3.711841106414795
1625392861906	70	3.8149993419647217
1625392862083	71	3.7672672271728516
1625392862261	72	3.557539939880371
1625392862437	73	3.3375582695007324
1625392862623	74	3.682687520980835
1625392862801	75	3.546326160430908
1625392862979	76	3.502110481262207
1625392863165	77	3.913921594619751
1625392863356	78	3.718059539794922
1625392863548	79	3.428741693496704
1625392863726	80	3.8012309074401855
1625392863908	81	3.3154046535491943
1625392864102	82	3.932044267654419
1625392864291	83	3.4456632137298584
1625392864467	84	3.803847312927246
1625392864642	85	3.634476900100708
1625392864818	86	3.6059625148773193
1625392864996	87	3.64341402053833
1625392865172	88	3.452038288116455
1625392865349	89	3.383162498474121
1625392865525	90	4.0093994140625
1625392865702	91	3.8712007999420166
1625392865880	92	3.5702366828918457
1625392866058	93	3.492180109024048
1625392866234	94	3.6691665649414062
1625392866411	95	3.555356979370117
1625392866602	96	3.9644885063171387
1625392866790	97	3.590977668762207
1625392866974	98	3.706658124923706
1625392867166	99	3.750617027282715
1625392867343	100	3.4375972747802734
1625392867526	101	3.8665549755096436
1625392867703	102	3.2464027404785156
1625392867910	103	3.5038788318634033
1625392868088	104	3.7235822677612305
1625392868264	105	3.7790331840515137
1625392868440	106	3.589754819869995
1625392868617	107	3.2934319972991943
1625392868793	108	3.454033374786377
1625392868969	109	3.8263041973114014
1625392869146	110	3.3949105739593506
1625392869323	111	3.738574266433716
1625392869499	112	3.846122980117798
1625392869674	113	3.559196949005127
1625392869871	114	3.4824650287628174
1625392870048	115	3.4764225482940674
1625392870224	116	3.1690726280212402
1625392870401	117	3.603391647338867
1625392870578	118	3.7424349784851074
1625392870756	119	3.4554238319396973
1625392870933	120	3.2630114555358887
1625392871111	121	3.6530776023864746
1625392871287	122	3.56564998626709
1625392871464	123	3.6989376544952393
1625392871643	124	3.605598211288452
1625392871819	125	3.4123952388763428
1625392871995	126	3.4027998447418213
1625392872173	127	3.399905204772949
1625392872351	128	3.8521454334259033
1625392872542	129	3.362109422683716
1625392872719	130	3.3585643768310547
1625392872897	131	3.5614757537841797
1625392873074	132	3.2808189392089844
1625392873250	133	3.1360023021698
1625392873426	134	3.577826738357544
1625392873604	135	3.4689602851867676
1625392873782	136	3.3348631858825684
1625392873959	137	3.716320514678955
1625392874135	138	3.468470811843872
1625392874311	139	4.019279479980469
1625392874489	140	4.178920269012451
1625392874666	141	3.4027159214019775
1625392874843	142	3.3639180660247803
1625392875023	143	3.4231090545654297
1625392875200	144	3.331916570663452
1625392875378	145	3.434028148651123
1625392875561	146	3.64528489112854
1625392875743	147	3.2511579990386963
1625392875938	148	3.5828771591186523
1625392876041	149	3.567288637161255
